SYMBOL,DELIV_PER
20MICRONS,46.23
21STCENMGM,94.34
360ONE,43.41
3IINFOLTD,59.54
3MINDIA,48.72
3PLAND,60.66
5PAISA,58.22
63MOONS,53.65
AAATECH,88.17
AADHARHFC,62.67
AAREYDRUGS,60.86
AARNAV,74.73
AARON,49.14
AARTECH,40.44
AARTIDRUGS,49.86
AARTIIND,57.95
AARTIPHARM,44.05
AARTISURF,59.92
AARVI,74.54
AAVAS,55.84
ABB,41.2
ABBOTINDIA,41.93
ABCAPITAL,33.82
ABCOTS,37.26
ABDL,35.02
ABFRL,46.85
ABGSEC,78.63
ABINFRA,42.31
ABLBL,58.67
ABREL,36.06
ABSL10BANK,68.03
ABSLAMC,53.91
ABSLBANETF,45.12
ABSLLIQUID,93.96
ABSLMSCIN,58.7
ABSLNN50ET,61.32
ABSLPSE,76.51
ACC,47.0
ACCELYA,58.58
ACCURACY,44.59
ACE,42.16
ACEINTEG,99.58
ACI,41.39
ACL,62.21
ACMESOLAR,15.58
ACUTAAS,44.85
ADANIENSOL,25.41
ADANIENT,19.46
ADANIGREEN,20.46
ADANIPORTS,39.3
ADANIPOWER,26.26
ADFFOODS,36.76
ADL,54.31
ADOR,60.55
ADROITINFO,51.49
ADSL,40.88
ADVAIT,28.03
ADVANCE,23.79
ADVANIHOTR,68.61
ADVENTHTL,37.77
ADVENZYMES,62.15
AEGISLOG,44.35
AEGISVOPAK,38.44
AEPL,65.97
AEQUS,19.2
AEROENTER,42.56
AEROFLEX,25.68
AERONEU,21.59
AETHER,35.63
AFCONS,44.5
AFFLE,67.45
AFFORDABLE,62.47
AFSL,66.15
AGARIND,47.25
AGARWALEYE,56.47
AGI,46.42
AGIIL,12.71
AGRITECH,53.73
AGROPHOS,63.75
AHCL,30.84
AHLADA,61.55
AHLEAST,71.29
AHLUCONT,47.2
AHLWEST,85.07
AIAENG,46.47
AIIL,38.78
AIRAN,79.29
AIROLAM,58.51
AJANTPHARM,50.44
AJAXENGG,47.8
AJMERA,34.78
AJOONI,80.15
AKASH,53.93
AKG,59.32
AKI,61.93
AKSHAR,48.87
AKSHARCHEM,58.81
AKSHOPTFBR,49.38
AKUMS,44.59
AKZOINDIA,63.9
ALANKIT,57.75
ALBERTDAVD,65.46
ALEMBICLTD,47.3
ALGOQUANT,9.83
ALICON,47.54
ALIVUS,76.72
ALKALI,56.59
ALKEM,51.63
ALKYLAMINE,38.73
ALLCARGO,33.34
ALLDIGI,63.47
ALLTIME,52.43
ALMONDZ,64.68
ALOKINDS,38.28
ALPA,62.37
ALPHA,57.23
ALPHAETF,60.61
ALPHAGEO,34.28
ALPL30IETF,83.23
AMAGI,46.63
AMANTA,62.43
AMBER,31.31
AMBICAAGAR,84.7
AMBIKCO,64.97
AMBUJACEM,28.75
AMDIND,65.85
AMIRCHAND,42.82
AMJLAND,63.67
AMNPLST,64.18
AMRUTANJAN,65.47
ANANDRATHI,35.57
ANANTRAJ,27.89
ANDHRAPAP,52.98
ANDHRSUGAR,36.74
ANGELONE,23.19
ANIKINDS,80.14
ANMOL,68.94
ANTELOPUS,51.22
ANTGRAPHIC,76.31
ANTHEM,33.11
ANUHPHR,62.68
ANUP,37.46
ANURAS,63.97
AONEGOLD,46.59
AONELIQUID,67.64
AONENIFTY,90.61
AONESILVER,61.41
AONETMMQ50,70.55
AONETOTAL,47.23
APARINDS,36.72
APCL,44.07
APCOTEXIND,53.17
APEX,24.76
APLAPOLLO,70.0
APLLTD,47.55
APOLLO,26.64
APOLLOHOSP,55.77
APOLLOPIPE,25.24
APOLLOTYRE,44.45
APOLSINHOT,86.52
APTECHT,43.17
APTUS,45.41
AQYLON,67.81
ARCHIDPLY,69.97
ARCHIES,63.28
ARE&M,50.01
ARENTERP,70.1
ARFIN,33.22
ARIES,49.38
ARIHANTCAP,31.84
ARIHANTSUP,27.59
ARIS,40.98
ARKADE,36.69
ARMANFIN,44.19
AROGRANITE,84.29
ARROWGREEN,37.24
ARSSBL,40.22
ARTEMISMED,39.61
ARTNIRMAN,36.18
ARVEE,90.05
ARVIND,44.56
ARVINDFASN,50.08
ARVSMART,31.45
ASAHIINDIA,38.11
ASAHISONG,51.2
ASAL,46.23
ASALCBR,43.7
ASHAPURMIN,33.34
ASHIANA,32.47
ASHIMASYN,66.06
ASHOKA,45.89
ASHOKAMET,71.95
ASHOKLEY,35.75
ASIANENE,24.76
ASIANHOTNR,55.13
ASIANPAINT,37.6
ASIANTILES,34.1
ASKAUTOLTD,45.01
ASMS,44.94
ASPINWALL,79.39
ASTEC,17.67
ASTERDM,40.66
ASTRAL,35.54
ASTRAMICRO,42.04
ASTRAZEN,18.54
ASTRON,72.63
ATALREAL,20.23
ATAM,76.92
ATGL,12.55
ATHERENERG,11.89
ATL,63.51
ATLANTAA,59.3
ATLANTAELE,43.13
ATLASCYCLE,20.13
ATUL,44.67
ATULAUTO,7.06
AUBANK,45.1
AURIGROW,46.17
AURIONPRO,30.62
AUROPHARMA,55.65
AURUM,68.73
AUTOAXLES,63.75
AUTOBEES,48.88
AUTOIETF,50.94
AUTOIND,48.44
AVADHSUGAR,34.19
AVALON,38.34
AVANTEL,27.82
AVANTIFEED,22.11
AVG,40.49
AVL,38.62
AVONMORE,53.09
AVROIND,51.7
AVTNPL,62.91
AWFIS,29.6
AWHCL,19.48
AWL,36.37
AXISBANK,56.09
AXISBNKETF,76.29
AXISBPSETF,61.66
AXISCADES,45.2
AXISCETF,78.61
AXISGOLD,48.01
AXISHCETF,87.04
AXISILVER,42.91
AXISNIFTY,66.38
AXISTECETF,78.53
AXISVALUE,64.8
AXITA,64.99
AXSENSEX,94.89
AYE,36.99
AYMSYNTEX,42.03
AZAD,53.82
BAFNAPH,49.52
BAGFILMS,58.24
BAIDFIN,53.14
BAJAJ-AUTO,35.35
BAJAJCON,38.77
BAJAJELEC,31.32
BAJAJFINSV,53.54
BAJAJHCARE,54.94
BAJAJHFL,39.72
BAJAJHIND,40.86
BAJAJHLDNG,47.26
BAJAJINDEF,38.16
BAJEL,43.26
BAJFINANCE,48.24
BALAJEE,52.58
BALAJITELE,34.91
BALAMINES,40.25
BALAXI,60.29
BALKRISHNA,74.25
BALKRISIND,58.54
BALMLAWRIE,49.38
BALPHARMA,63.4
BALRAMCHIN,44.68
BALUFORGE,38.26
BANARBEADS,69.88
BANARISUG,63.11
BANCOINDIA,34.64
BANDHANBNK,35.73
BANG,73.55
BANK10ADD,87.68
BANKA,100.0
BANKADD,41.89
BANKBARODA,46.33
BANKBEES,33.35
BANKBETA,63.58
BANKBETF,71.33
BANKETF,39.46
BANKIETF,42.19
BANKINDIA,18.65
BANKNIFTY1,71.88
BANKPSU,49.27
BANSALWIRE,42.42
BANSWRAS,54.11
BASF,54.06
BASML,62.75
BATAINDIA,35.98
BAYERCROP,52.43
BBETF0432,91.97
BBL,56.46
BBNPNBETF,46.59
BBNPPGOLD,57.15
BBOX,34.02
BBTC,56.69
BBTCL,88.3
BCLIND,46.67
BCONCEPTS,56.07
BCPL,44.41
BDL,27.45
BEARDSELL,53.99
BECTORFOOD,49.13
BEL,45.07
BELLACASA,50.63
BELRISE,35.24
BEML,25.41
BEPL,59.81
BERGEPAINT,36.5
BETA,54.72
BFINVEST,29.17
BFSI,55.55
BHAGCHEM,61.82
BHAGERIA,52.24
BHAGYANGR,33.57
BHANDARI,40.5
BHARATCOAL,40.25
BHARATFORG,38.47
BHARATGEAR,54.78
BHARATRAS,40.93
BHARATSE,30.5
BHARATWIRE,58.56
BHARTIARTL,43.46
BHARTIHEXA,57.24
BHEL,57.12
BIGBLOC,49.49
BIKAJI,45.79
BIL,46.74
BIOCON,51.55
BIOFILCHEM,46.46
BIRLACABLE,35.78
BIRLACORPN,36.6
BIRLAMONEY,42.58
BIRLANU,53.52
BLACKBUCK,46.1
BLAL,60.13
BLISSGVS,36.72
BLKASHYAP,53.48
BLS,26.8
BLSE,79.37
BLUECOAST,71.09
BLUEDART,46.36
BLUEJET,39.09
BLUESTARCO,27.84
BLUESTONE,32.82
BLUSPRING,67.21
BMWVENTLTD,47.58
BODALCHEM,48.98
BOMDYEING,39.26
BONLON,91.35
BOROLTD,55.11
BORORENEW,44.93
BOROSCI,54.54
BOSCH-HCIL,51.41
BOSCHLTD,28.63
BPCL,46.84
BPL,50.86
BRIGADE,36.29
BRIGHOTEL,46.51
BRITANNIA,50.79
BRNL,78.46
BROOKS,55.09
BSE,28.92
BSE500IETF,38.95
BSHSL,48.52
BSL,78.26
BSLGOLDETF,66.4
BSLNIFTY,86.27
BSLSENETFG,19.12
BSOFT,35.8
BTML,48.57
BUILDPRO,58.24
BUTTERFLY,21.72
BVCL,79.28
BYKE,46.37
CALSOFT,87.03
CAMLINFINE,39.86
CAMPUS,32.68
CAMS,40.66
CANBK,33.49
CANFINHOME,49.79
CANHLIFE,52.47
CANTABIL,47.35
CAPACITE,45.03
CAPILLARY,46.72
CAPITALSFB,44.87
CAPLIPOINT,54.83
CARBORUNIV,43.62
CARERATING,51.1
CARRARO,71.13
CARTRADE,38.27
CARYSIL,49.89
CASHIETF,56.87
CASTROLIND,50.17
CCAVENUE,46.33
CCCL,69.92
CCHHL,73.58
CCL,40.04
CDSL,26.55
CEATLTD,37.83
CEIGALL,53.73
CEINSYS,37.2
CELEBRITY,77.81
CELLO,44.63
CEMPRO,40.42
CENTENKA,72.06
CENTEXT,59.91
CENTRALBK,37.42
CENTRUM,66.09
CENTUM,39.94
CENTURYPLY,47.13
CERA,48.75
CESC,35.23
CEWATER,35.92
CGCL,38.12
CGPOWER,42.06
CHALET,47.8
CHAMBLFERT,43.78
CHEMBOND,61.0
CHEMBONDCH,53.35
CHEMCON,48.56
CHEMFAB,40.42
CHEMICAL,70.41
CHEMPLASTS,58.01
CHENNPETRO,35.68
CHEVIOT,70.87
CHOICEGOLD,35.38
CHOICEIN,21.78
CHOLAFIN,63.81
CHOLAHLDNG,48.11
CIEINDIA,51.6
CIFL,61.5
CIGNITITEC,33.3
CINELINE,65.37
CINEVISTA,88.1
CIPLA,61.2
CLEAN,47.42
CLEANMAX,45.79
CLSEL,37.82
CMPDI,36.81
CMSINFO,48.12
CNL,63.89
COALINDIA,35.84
COASTCORP,53.71
COCHINSHIP,22.1
COFFEEDAY,26.98
COFORGE,31.19
COHANCE,11.89
COLPAL,53.07
COMMOIETF,57.91
COMPUSOFT,70.03
COMSYN,74.81
CONCOR,47.93
CONCORDBIO,45.63
CONFIPET,29.78
CONS,28.22
CONSUMBEES,51.46
CONSUMER,64.63
CONSUMIETF,71.44
CONTROLPR,54.82
CORALFINAC,61.25
CORDSCABLE,39.63
COROMANDEL,51.03
CORONA,39.2
COSMOFIRST,44.49
COUNCODOS,64.88
CPCAP,60.34
CPEDU,72.95
CPPLUS,45.24
CPSEETF,46.34
CRAFTSMAN,34.03
CRAMC,41.42
CREATIVEYE,73.05
CREDITACC,52.69
CREST,57.65
CRISIL,52.22
CRIZAC,50.28
CROMPTON,35.57
CROWN,39.16
CSBBANK,45.93
CSLFINANCE,44.87
CTE,44.51
CUB,56.01
CUBEXTUB,43.54
CUMMINSIND,56.17
CUPID,43.15
CYBERMEDIA,65.71
CYBERTECH,43.61
CYIENT,41.15
CYIENTDLM,42.03
DABUR,39.57
DALBHARAT,45.21
DALMIASUG,18.52
DAMCAPITAL,31.6
DAMODARIND,42.26
DANGEE,70.98
DATAMATICS,37.5
DATAPATTNS,19.03
DAVANGERE,57.09
DBCORP,65.09
DBEIL,58.42
DBL,39.8
DBOL,36.72
DBREALTY,48.12
DBSTOCKBRO,79.72
DCAL,48.48
DCBBANK,50.81
DCM,62.01
DCMNVL,76.47
DCMSHRIRAM,42.0
DCMSRIND,50.67
DCW,29.17
DCXINDIA,26.54
DDEVPLSTIK,41.4
DECCANCE,70.62
DEEDEV,24.16
DEEPAKFERT,31.91
DEEPAKNTR,47.14
DEEPINDS,21.97
DEFENCE,68.86
DELHIVERY,49.59
DELPHIFX,61.43
DELTACORP,35.01
DELTAMAGNT,57.81
DEN,44.68
DENORA,75.57
DENTA,22.15
DEVIT,49.39
DEVX,30.95
DEVYANI,40.3
DGCONTENT,69.55
DHAMPURSUG,25.6
DHANBANK,41.9
DHANUKA,55.77
DHARMAJ,55.84
DHRUV,68.72
DHUNINV,65.63
DIACABS,31.98
DIAMINESQ,54.65
DIAMONDYD,48.09
DICIND,70.49
DIFFNKG,89.03
DIGIDRIVE,70.1
DIGISPICE,50.11
DIGITIDE,47.23
DIGJAMLMTD,83.06
DISHTV,65.66
DIVGIITTS,46.81
DIVIDEND,79.18
DIVISLAB,50.16
DIVOPPBEES,66.61
DIXON,24.33
DLF,40.62
DLINKINDIA,59.91
DMART,52.34
DMCC,26.7
DNAMEDIA,86.87
DODLA,36.89
DOLATALGO,30.21
DOLLAR,21.6
DOLPHIN,33.87
DOMS,28.22
DONEAR,36.22
DPABHUSHAN,45.39
DPSCLTD,64.41
DPWIRES,15.57
DRCSYSTEMS,66.71
DREAMFOLKS,50.8
DREDGECORP,28.05
DRREDDY,51.56
DSFCL,62.2
DSSL,41.88
DTIL,56.62
DVL,49.2
DWARKESH,29.33
DYCL,40.57
DYNAMATECH,25.84
DYNPRO,21.87
EASEMYTRIP,36.59
EBANKNIFTY,70.58
EBBETF0430,65.97
EBBETF0431,82.14
EBBETF0433,94.22
EBGNG,38.73
ECAPINSURE,61.31
ECLERX,56.66
ECOSMOBLTY,35.16
EDELWEISS,39.03
EFCIL,49.55
EGOLD,77.28
EICHERMOT,52.85
EIDPARRY,52.66
EIEL,4.12
EIFFL,81.36
EIHAHOTELS,32.47
EIHOTEL,30.71
EIMCOELECO,51.37
EKC,51.9
ELDEHSG,67.79
ELECON,34.38
ELECTCAST,46.42
ELECTHERM,52.6
ELGIEQUIP,48.76
ELGIRUBCO,63.57
ELIN,48.86
ELIQUID,96.47
ELLEN,38.12
ELM250,80.8
EMAMILTD,59.93
EMAMIPAP,60.17
EMAMIREAL,64.91
EMCURE,54.69
EMIL,39.01
EMKAY,59.98
EMMBI,58.25
EMMVEE,34.51
EMSLIMITED,31.09
EMUDHRA,48.94
EMULTIMQ,69.42
ENDURANCE,66.0
ENERGY,63.12
ENERGYDEV,70.69
ENGINERSIN,36.89
ENIFTY,98.28
ENIL,85.5
ENRIN,42.11
ENTERO,48.9
EPACK,36.51
EPACKPEB,51.96
EPIGRAL,42.63
EPL,49.52
EQUAL200,84.39
EQUAL50,75.55
EQUAL50ADD,71.85
EQUITASBNK,43.77
ERIS,55.11
ESABINDIA,51.22
ESAFSFB,50.93
ESCORTS,41.46
ESENSEX,81.64
ESG,50.13
ESILVER,94.51
ESSARSHPNG,37.37
ESSENTIA,65.51
ESTER,35.04
ETERNAL,49.81
ETHOSLTD,54.2
EUREKAFORB,50.66
EUROBOND,82.67
EUROPRATIK,13.02
EUROTEXIND,55.7
EVEREADY,25.25
EVERESTIND,24.51
EVIETF,47.94
EVINDIA,60.85
EXCELINDUS,49.89
EXCELSOFT,38.14
EXICOM,18.15
EXIDEIND,25.65
EXPLEOSOL,57.22
EXXARO,66.88
FABTECH,44.76
FACT,20.36
FAIRCHEMOR,58.45
FCL,49.51
FCSSOFT,66.23
FDC,82.63
FEDERALBNK,45.23
FEDFINA,49.61
FIEMIND,34.55
FILATEX,52.83
FILATFASH,54.01
FINCABLES,50.43
FINEORG,41.5
FINIETF,51.06
FINKURVE,30.01
FINOPB,29.04
FINPIPE,41.11
FIRSTCRY,17.48
FISCHER,25.88
FIVESTAR,40.35
FLAIR,30.31
FLEXIADD,86.58
FLEXITUFF,92.98
FLUOROCHEM,61.85
FMCGIETF,60.06
FMGOETZE,46.37
FMNL,63.27
FOCUS,45.05
FOODSIN,38.47
FORCEMOT,16.04
FORTIS,38.98
FOSECOIND,57.89
FRACTAL,42.12
FSL,40.35
FUSION,62.53
GABRIEL,38.7
GAEL,48.59
GAIL,63.71
GALAPREC,58.89
GALAXYSURF,43.88
GALLANTT,10.97
GANDHAR,51.57
GANDHITUBE,61.87
GANECOS,31.56
GANESHBE,44.66
GANESHCP,47.04
GANESHHOU,40.01
GANGAFORGE,70.68
GANGESSECU,68.05
GARFIBRES,49.56
GARUDA,22.96
GATECH,48.59
GATECHDVR,76.85
GATEWAY,50.48
GAUDIUMIVF,30.07
GAYAHWS,55.98
GCSL,59.36
GEECEE,46.01
GEEKAYWIRE,47.97
GENCON,71.84
GENESYS,23.38
GENUSPAPER,76.81
GENUSPOWER,46.04
GEOJITFSL,52.1
GESHIP,60.15
GFLLIMITED,49.26
GHCL,49.0
