SYMBOL,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
1018GS2026, 20-Jul-2026,101.63,104.17,101.63,103.52,104.24,770,0.8,6,485.0,62.99
20MICRONS, 20-Jul-2026,203.5,209.25,202.0,206.27,204.64,242306,500.04,5167,148837.0,61.43
21STCENMGM, 20-Jul-2026,34.39,34.39,33.16,34.38,33.72,3115,1.07,43,2474.0,79.42
360ONE, 20-Jul-2026,1105.0,1128.9,1102.2,1126.5,1113.7,881095,9868.34,37395,428644.0,48.65
3BBLACKBIO, 20-Jul-2026,1241.0,1290.0,1222.2,1267.4,1250.4,14764,185.79,1690,6577.0,44.55
3IINFOLTD, 20-Jul-2026,18.65,18.94,18.33,18.72,18.3,477160,89.12,1740,323040.0,67.7
3MINDIA, 20-Jul-2026,34940.0,35570.0,34710.0,35240.0,34870.0,3974,1398.22,2359,1882.0,47.36
3PLAND, 20-Jul-2026,32.15,32.15,31.51,31.71,31.93,6193,1.98,58,5550.0,89.62
574GS2026, 20-Jul-2026,100.7,100.79,100.7,100.79,100.48,2526,2.54,6,1955.0,77.4
591GS2028, 20-Jul-2026,100.0,100.0,100.0,100.0,101.5,100,0.1,1,100.0,100.0
5PAISA, 20-Jul-2026,366.65,379.75,363.05,377.8,365.6,53969,200.53,2604,23660.0,43.84
601GS2028, 20-Jul-2026,100.4,100.4,100.4,100.4,100.5,3000,3.01,2,3000.0,100.0
603GS2029, 20-Jul-2026,101.6,101.6,101.6,101.6,101.7,100,0.1,1,100.0,100.0
610GS2031, 20-Jul-2026,99.75,99.75,99.75,99.75,99.75,1,0.0,1,1.0,100.0
636GS2031, 20-Jul-2026,100.4,100.4,100.4,100.4,102.0,450,0.45,5,450.0,100.0
63MOONS, 20-Jul-2026,718.0,736.7,712.2,728.6,724.15,154463,1119.22,7286,66988.0,43.37
648GS2035, 20-Jul-2026,99.5,99.5,99.5,99.5,99.5,76,0.08,2,76.0,100.0
667GS2035, 20-Jul-2026,98.5,98.5,98.5,98.5,98.62,1000,0.99,1,1000.0,100.0
667GS2050, 20-Jul-2026,94.3,94.3,94.0,94.0,93.0,500,0.47,4,500.0,100.0
668GS2040, 20-Jul-2026,99.15,99.15,99.15,99.15,99.25,2000,1.98,2,2000.0,100.0
676GS2061, 20-Jul-2026,93.2,93.38,93.1,93.34,93.3,19808,18.48,33,19808.0,100.0
679GS2034, 20-Jul-2026,101.0,101.0,100.55,100.55,101.0,3190,3.22,2,3190.0,100.0
68GS2060, 20-Jul-2026,93.9,93.9,93.83,93.83,93.9,1810,1.7,12,1810.0,100.0
690GS2065, 20-Jul-2026,94.19,94.19,93.15,93.27,94.0,22216,20.79,25,21684.0,97.61
694GS2036, 20-Jul-2026,101.85,101.85,101.85,101.85,101.85,200,0.2,2,200.0,100.0
695GS2061, 20-Jul-2026,94.5,94.5,94.5,94.5,94.5,1900,1.8,2,1900.0,100.0
697GR2034, 20-Jul-2026,101.85,101.85,101.85,101.85,101.85,649,0.66,1,649.0,100.0
699GS2051, 20-Jul-2026,96.5,96.5,96.5,96.5,97.93,50,0.05,2,50.0,100.0
702GS2027, 20-Jul-2026,101.1,101.2,101.1,101.2,101.25,1922,1.95,3,1922.0,100.0
702GS2031, 20-Jul-2026,101.56,101.56,101.56,101.56,101.56,100,0.1,1,100.0,100.0
709GS2054, 20-Jul-2026,99.85,99.85,99.6,99.7,99.79,6822,6.81,6,6822.0,100.0
709GS2074, 20-Jul-2026,96.0,96.34,94.2,95.26,96.38,24398,23.29,48,16872.0,69.15
710GS2029, 20-Jul-2026,103.56,103.56,103.56,103.56,103.56,1029,1.07,2,1029.0,100.0
717GS2030, 20-Jul-2026,104.4,104.4,103.05,103.25,104.3,3225,3.33,4,3025.0,93.8
718GS2037, 20-Jul-2026,105.9,105.9,105.9,105.9,106.39,1000,1.06,2,1000.0,100.0
71GS2034, 20-Jul-2026,103.2,103.2,103.2,103.2,103.2,100,0.1,1,100.0,100.0
724GS2055, 20-Jul-2026,101.25,101.25,100.7,100.71,101.02,63534,64.16,18,55693.0,87.66
725GS2063, 20-Jul-2026,98.15,98.15,97.67,97.86,98.02,160363,156.95,106,155492.0,96.96
726GS2032, 20-Jul-2026,105.5,105.75,105.5,105.75,106.2,24890,26.29,5,24890.0,100.0
726GS2033, 20-Jul-2026,106.3,106.3,106.3,106.3,106.3,17111,18.19,3,17111.0,100.0
733GS2026, 20-Jul-2026,101.33,101.33,101.33,101.33,101.26,96,0.1,1,96.0,100.0
734GS2064, 20-Jul-2026,100.0,100.0,99.61,99.79,100.0,226853,226.25,72,221303.0,97.55
